MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,RoomsPerPerson,LogPopulation
-0.1658997,-0.018131366,0.027444992,0.03176696,0.035112895,-0.20320952,0.38991067,0.052146826,-0.09145248,0.0
0.022953827,-0.05540498,-0.027922206,0.038025863,0.009624397,-0.20216379,-0.49730253,0.074476965,-0.041165702,0.0
0.036067005,-0.19433157,-0.0031685058,0.06003238,0.075705424,0.34272194,-0.69937485,0.21556418,0.11321728,0.0
-0.032889854,0.009365568,-0.02240358,-0.026804604,-0.008728081,-0.25423178,0.3937703,-0.23770802,-0.086848296,0.0
-0.20176554,-0.24883457,-0.002509328,0.00448089,0.020849144,0.22317336,0.112850234,-0.71489435,0.03575196,0.0
0.45085162,0.23705235,-0.035948325,0.029119777,-0.08157656,0.048538487,0.3707721,-0.18409854,0.043393504,0.0
-0.1418923,-0.19304934,-0.04672389,0.038985528,0.02757699,-0.053005002,-0.4672644,-0.46803513,0.017222468,0.0
-0.4393748,-0.047645267,-0.10235878,-0.0360208,-0.008383732,-0.01009955,-0.4546622,-0.41390076,0.010953331,0.0
-0.18441993,0.2878225,0.0683605,-0.004339368,-0.06416976,0.17765601,0.40167463,-0.02189821,-0.0758827,0.0
-0.31289268,0.048238464,0.05482698,-0.0057411008,-0.005850487,0.06380228,0.48811764,0.08121317,-0.07742893,0.0
0.793987,0.08629605,-0.027414357,0.009498625,0.02584486,0.1065611,0.037728928,0.6533908,-0.013872288,0.0
0.023196211,0.039217643,0.0037501454,0.041932903,-0.005346297,-0.2756587,0.41582814,-0.014803644,-0.12039587,0.0
0.24166526,0.04572798,-0.029499566,-0.051788684,0.025008146,-0.428532,0.3472834,-0.1582103,-0.1582154,0.0
0.17283045,0.018019067,-0.021493629,-0.0077060675,0.0638404,0.04917019,0.4495033,-0.14734882,0.002403614,0.0
0.43695185,-0.06768913,-0.022119362,-0.0027764956,0.075863205,-0.2742839,-0.19792871,0.54311883,-0.0691787,0.0
0.6663519,0.42847723,-0.036263816,-0.04324143,-0.032134164,0.75191844,0.52925587,0.01466584,0.11039566,0.0
0.4283335,-0.122399814,-0.012668718,-0.03832127,0.14346866,-0.21501678,-0.48085222,0.46136802,-0.11221191,0.0
-0.6266589,0.026237838,0.25320497,0.08724778,-0.0019456998,-0.3862725,0.30282226,0.011877648,-0.049178004,0.0
0.35590196,0.0763664,-0.022571214,-0.016106477,-0.0019741987,0.03317363,0.49492526,-0.089717954,0.026556667,0.0
0.3238494,-0.048815306,0.004614853,-0.01795645,-0.0016637922,0.11776123,-0.96964896,0.23956795,0.051852413,0.0
0.013308698,0.028370174,-0.008012081,-0.040708393,-0.04142747,-0.22487873,0.3898832,-0.14114045,-0.09920313,0.0
-0.58833915,0.009315261,0.13412866,0.08211693,0.01522054,-0.46874264,0.3110317,0.098028615,-0.08667068,0.0
-0.3119128,0.028235104,0.0074278032,-0.027126368,-0.016841771,-0.5373017,0.24305436,-0.02734755,-0.07240642,0.0
-0.52489215,-0.030827975,0.10480246,0.031966876,-0.011006513,-0.1342186,0.0483037,0.4040527,-0.09438771,0.0
-0.10046029,-0.051301237,-0.026968647,0.01052975,-0.0059890198,-0.063961506,-0.68220776,0.1437292,-0.03870636,0.0
0.15739828,0.020669218,-0.02398302,0.0010762509,-0.023580037,-0.111568816,-0.12764901,0.5355186,0.021571457,0.0
-0.33455545,-0.057969376,0.09354991,-0.09578233,-0.017271448,-0.13662699,0.35709688,0.19490646,-0.061523452,0.0
-0.95619226,0.32607663,0.17575695,0.18574174,-0.024687532,0.9320259,0.65304846,0.009933723,0.124016434,0.0
-0.4237986,0.41139293,0.18702117,0.044185277,-0.09109552,1.0272939,0.5620513,0.08024958,0.2030241,0.0
0.6807251,-0.3814957,-0.024648229,-0.10278136,-0.0067293737,0.15177009,0.36040023,-0.36359406,0.016836777,0.0
-0.13799876,-0.04559219,0.016865138,-0.08549649,-0.15721521,0.08821186,-0.089805886,0.8477415,-0.026695265,0.0
0.012352829,0.022250783,-0.024449056,-0.0147119565,0.01406921,-0.37177783,0.37822133,0.038569834,-0.064428404,0.0
-0.5044313,0.0016306667,-0.05610471,0.01597246,-0.0021343941,-0.13466011,-0.66849536,0.11538691,-0.023088872,0.0
-0.11217065,-0.030594176,0.0148894815,-0.03171664,0.008910762,0.28328356,-0.04203303,0.5292478,-0.01771672,0.0
0.25064468,0.15521856,-0.02584761,-0.05801945,-0.0782478,0.31470186,0.492553,0.01490056,0.08409209,0.0
-0.115581326,-0.051062807,-0.008281948,-0.03890839,0.050137125,-0.19433327,0.34680992,-0.20284651,-0.09190985,0.0
-0.51762164,0.022210127,0.02595722,-0.014067368,-0.0068830936,-0.44604015,0.33255863,-0.03724488,-0.09062375,0.0
